id;placed_date;status;code;customer_id
1;2024-07-22T17:59:52;PENDING;onto;1
2;2024-07-22T15:15:53;PENDING;for;2
3;2024-07-22T21:33:07;CANCELLED;scarcely jealously;3
4;2024-07-22T21:49:50;PENDING;misunderstand;4
5;2024-07-22T00:57:30;PENDING;provided hardening;5
6;2024-07-22T21:36:13;PENDING;wiggle lightly;6
7;2024-07-22T13:25:16;PENDING;boohoo ptarmigan faraway;7
8;2024-07-23T00:49:32;CANCELLED;so including;8
9;2024-07-22T22:16:58;CANCELLED;indeed so lest;9
10;2024-07-22T06:16:05;CANCELLED;athwart including instead;10
